,nome_repositorio,linguagem
311,sample-cloudkit-queries,Swift
312,sample-cloudkit-sharing,Swift
313,sample-cloudkit-sync-engine,Swift
314,sample-cloudkit-tooling,JavaScript
315,sample-cloudkit-zonesharing,Swift
316,sample-fbounds-safety-adoption,HTML
317,sample-food-truck,Swift
318,security-pcc,Swift
319,servicetalk,Java
320,speakstream-demo,HTML
321,StreamingSession,C#
322,swift-3-api-guidelines-review,Swift
323,swift-algorithms,Swift
324,swift-argument-parser,Swift
325,swift-asn1,Swift
326,swift-async-algorithms,Swift
327,swift-async-dns-resolver,Swift
328,swift-atomics,Swift
329,swift-binary-parsing,Swift
330,swift-cassandra-client,Swift
331,swift-certificates,Swift
332,swift-clang,C++
333,swift-clang-tools-extra,C++
334,swift-cluster-membership,Swift
335,swift-collections,Swift
336,swift-collections-benchmark,Swift
337,swift-compiler-rt,C
338,swift-configuration,Swift
339,swift-container-plugin,Swift
340,swift-crypto,Assembly
341,swift-distributed-actors,Swift
342,swift-distributed-tracing,Swift
343,swift-distributed-tracing-baggage-core,Swift
344,swift-distributed-tracing-extras,Swift
345,swift-evolution-staging,Swift
346,swift-homomorphic-encryption,Swift
347,swift-homomorphic-encryption-protobuf,
348,swift-http-api-proposal,Swift
349,swift-http-structured-headers,Swift
350,swift-http-types,Swift
351,swift-internals,HTML
352,swift-issues,
353,swift-libcxx,C++
354,swift-llbuild2,Swift
355,swift-lldb,C++
356,swift-llvm,LLVM
357,swift-log,Swift
358,swift-metrics,Swift
359,swift-mmio,Swift
360,swift-nio,Swift
361,swift-nio-examples,Swift
362,swift-nio-extras,Swift
363,swift-nio-http2,Swift
364,swift-nio-imap,Swift
365,swift-nio-nghttp2-support,Swift
366,swift-nio-oblivious-http,Swift
367,swift-nio-ssh,Swift
368,swift-nio-ssl,Assembly
369,swift-nio-ssl-support,Swift
370,swift-nio-transport-services,Swift
371,swift-nio-zlib-support,Swift
372,swift-ntp,Swift
373,swift-numerics,Swift
374,swift-openapi-generator,Swift
375,swift-openapi-runtime,Swift
376,swift-openapi-urlsession,Swift
377,swift-play-experimental,Swift
378,swift-profile-recorder,Swift
379,swift-protobuf,Swift
380,swift-protobuf-plugin,
381,swift-protobuf-test-conformance,
382,swift-sample-distributed-actors-transport,Swift
383,swift-service-context,Swift
384,swift-service-discovery,Swift
385,swift-standard-library-preview,Swift
386,swift-statsd-client,Swift
387,swift-string-processing-benchmarks,Swift
388,swift-system,Swift
389,swift-system-metrics,Swift
390,swift-temporal-sdk,Swift
391,swift-tools-support-async,Swift
392,swift-xcode-playground-support,Swift
393,swiftpm-on-llbuild2,Swift
394,SwiftUsd,C++
395,SwiftUsd-ast-answerer,C++
396,SwiftUsd-Tests,Swift
397,tensor-visualizer,Svelte
398,tensorflow_macos,Shell
399,ToolSandbox,Python
400,tree-sitter-pkl,Kotlin
401,turicreate,C++
402,unityplugins,C#
403,VideoFlashingReduction,Mathematica
404,visatronic-demo,HTML
405,vqg-multimodal-assistant,Python
